料理するのがね、めんどくさくなって得意なものはないですね,料理は食べたことがありますか？,料理は毎日食べてますよ,料理/毎日/食べる,理,null,null,
いいえ 5人で住んでます,シルバー人材センターから電話がきて，この仕事を引き受けたんですか？,そうなんですよ最初はね,最初,初/ウブ/初心,null,null,
そうなんですよ最初はね,テレビゲームをしたことはありますか？,そうですね、少しはしてますけど、苦手ですね、目によくないし,そうですね/する/苦手/目/よい#ない,null,苦,null,
そうですね、少しはしてますけど、苦手ですね、目によくないし,何か、思い出の品は、持っていますか？,あんまり思い出の品ってないですよね、わりと、執着心がないんですよ,思い出/品/ない/わり/執着心/ない,思い,null,null,
あんまり思い出の品ってないですよね、わりと、執着心がないんですよ,服を選ぶのって楽しいですよね。どこで服を買うことが多いですか？,あまり服買わないですけどね、えーと、どこでしょうかね、ユニクロあたりで買うのかな,服/買う#ない/どこ/ユニ/クロ/あたり/買う,当たり,黒,null,
あまり服買わないですけどね、えーと、どこでしょうかね、ユニクロあたりで買うのかな,福岡は日本語の姓ですか？,福岡は日本の姓ではなく、日本、日本の都市の名前ですよね,福岡/日本/姓#ない/日本/日本/都市/名前,名,null,p,
null,昔、どんな曲が、流行っていましたか？,昔はねー、えーと、[高校3年生]とか流行ってましたよ,昔/[/高校/3/]/流行る,流行る,流行る,null,
あ、高校には行ってましたね、学校に勉強しに,日野は初めてですか？,日野はね、30、40年代住んでます,日野/はねる/30/40/住む,撥ねる,null,null,
昨日って、えー、今日の前の日です,買い換えたい家電はありますか？,えーと、冷蔵庫がほしいですね,冷蔵庫/ほしい,欲しい,null,p,
冷蔵庫は食べられません,冷蔵庫はおいしいですよね,冷蔵庫はおいしくありません,冷蔵庫/おいしい/ある#ん,美味しい,null,null,
そうですね、やりますね,そうですよね．わたしもそう思います,簡単ですものね、取り替えるのは,簡単/取り替える,簡単,null,null,
簡単ですものね、取り替えるのは,簡単ってなんだろう．．．,簡単て、易しく、何でもできるこ,簡単/易しい/何/できる/こ,簡単/優しい/易しい,null,null,
簡単て、易しく、何でもできるこ,簡単は好きですか？,簡単わー、えー、,簡単/ー/えー,簡単,null,null,
簡単わー、えー、,スポーツは、見るのとやるの、どちらが好きですか？,今は見るのが好きです,今/見る/好き,好き,null,null,
見に行きたいけどもー、なかなか,目はいいほうですか？メガネを使っていますか？,メガネは、目は悪いです、メガネ使ってます,メガネ/目/悪い/メガネ/使う,null,悪,n,
使っていません,お祭りは好きですか？,好きでも嫌いでもないですね、でもー、近くだと見に行きます,好き/嫌い#ない/ー/近く/見る/行く,好き,嫌,null,
もう、前、20年くらい前にやめました、していません,音楽を習ってみたいなぁ。今まで習ったこと、ありますか？,えっとー、バイオリンをやってたんですけど、下手なのでやめました,えっ/ー/バイオリン/やる/下手/やめる,null,下手,null,
えっとー、バイオリンをやってたんですけど、下手なのでやめました,アイロンがけ難しいですよね。何かコツがあるのかなぁ。,私もアイロンがけ苦手です、何かコツがあるのかなあ、知りたいです,私/アイロン/がけ/苦手/何/コツ/ある/知る,愛,苦,null,
あまり好きな方ではないです,映画が好きです,そうです、映画は好きです,映画/好き,好き,null,null,
そうなんです、乾かなくってたいへんです,ごはんおいしいよね,そうですね、ご飯美味しいですよね,そうですね/ご飯/美味しい,味/美味しい,null,null,
えーと、少しカラダを動かそうかなと思いました、あと お小遣いがもらえるかなあと思いました,越冬ってなんだろう．．．,越冬って冬を越すことですよね、わたしの言った「えーと」とは 考えてることです,越冬/冬/越す/わたし/言う/考える,越す,null,null,
してません,家族に、直して欲しい所は、ありますか？,そうですね、孫にちょっと落ち着いてほしいです,そうですね/孫/落ち着く,落ち着く,null,null,
そうですね、まだ先のことですけど嫁さんはいないので,新婚旅行の思い出は、何かありますか？,えー、海が綺麗だなっていうことですかね,えー/海/綺麗/いう,奇麗/綺麗,null,null,
知っています,地震の対策は、していますか？,ええ、一応必要なものはリュックにつめています、あとはしてません,ええ/必要/リュック/つめる/あと/する#ん,要/必要,null,null,
ええ、一応必要なものはリュックにつめています、あとはしてません,犬と猫では、どちらが好きですか？,犬も猫も好きじゃないんです,犬/猫/好き#ない,null,犬/狗,null,
犬も猫も好きじゃないんです,新聞は読みますか？,はい、好きなところだけ読みます,はい/好き/読む,好き,null,null,
そうですね、 2、3日に一度ぐらいですね,手に職と、よく言われるんですけど、なにか職を持っていますか？,えー、ないんですよね特別、持っていません,えー/ない/特別/持つ#ん,特別,null,null,
えー、ないんですよね特別、持っていません,平は知っていますか？,平ですかー、「平」という字ですねー、うーん、いろいろ意味がありますね,平/ー/平/字/うーん/意味/ある,味,null,null,
平ですかー、「平」という字ですねー、うーん、いろいろ意味がありますね,平ってなんだろう．．．,「平」ってねー、いろいろな言葉使いますねー、なんだろね,平/いろいろ/言葉/使う/なん,色,null,n,
そうですね,寝る前に、いつもしていることってありますか？,ないです特別、何も無いんです,ない/特別/何/無い,特別,null,null,
好きじゃありません,今、何か、ほしいものはありますか？,欲しいものはたくさんありますけど、えー、なんだろーね、欲しいものは,欲しい/たくさん/ある/えー/なん/ー/欲しい,欲しい,null,null,
将棋のこと全然しらないのでやったことありません,将棋は好きですか？,まったくわからないのでダメです,わかる#ない/ダメ,null,駄目,null,
はい食べてます,この地域の名物はなんですか？,日野の名物はなんだろ,日野/名物/なん,名/名物,null,null,
そうですね あまりご近所の方と話しませんね,ボランティアに、興味はありますか？,残念ながらないんです,残念/ない,null,残念,null,
残念ながらないんです,残念は好きですか？,残念ていう言葉はあまり好きじゃないです,残念/言葉/好き#ない,null,残念,n,
やらないんです,おいしいですね。,そうですよね、美味しいですよね,美味しい,味/美味しい,null,p,
そうですよね、美味しいですよね,麻雀は知っていますか？やってみたいけど、難しそうですよね。,そうなんです、やったことないけど難しそうですね,やる/ない/難しい,null,難しい,n,
あります,写真を撮るのは、好きですか？,あまり興味ないです,興味/ない,興/興味,null,null,
ありません,外食は、お好きですか？行きつけのお店は、ありますか？,外食は好きですけどいろんなお店に行きますので行きつけはありません,外食/好き/店/行く/行きつけ/ある#ん,好き,null,null,
外食は好きですけどいろんなお店に行きますので行きつけはありません,そうですよね．わたしもそう思います,いろんなお店行った方がいいですよね,店/行く/いい,易易/良い/善い/好い,null,null,
いろんなお店行った方がいいですよね,米子市はいったことありますか？,残念ながらないんです,残念/ない,null,残念,null,
そうですね,芳香剤で好きな香りはなんですか？,あまり気にしてなくて好きなのはありません,気/する#ない/好き/ある#ん,好き,null,null,
あまり気にしてなくて好きなのはありません,お仕事は、楽しいですか？,えー、仕事っていうかアルバイトしてまして あまり楽しくって感じじゃないですね,えー/仕事/アルバイト/する/楽しい/感じ#ない,楽しい,null,null,
そうですね、体のこととか先のこととかいろいろあります,夏の夜は寝苦しいですよね。何かいい方法を知りませんか？,特別何もしてなくて汗をかいて寝てます,特別/何/する#ない/汗/かく/寝る,特別/核,null,p,
特別何もしてなくて汗をかいて寝てます,機械の修理は得意ですか？,いいえ いじったことありません,いいえ/いじる/ある#ん,意地,null,null,
いいえ いじったことありません,自宅ってなんだろう．．．,そうですね、色んなくつろげる場所かしら,そうですね/くつろげる/場所,寛げる,null,null,
そうですね、色んなくつろげる場所かしら,日曜大工に興味はありますか？,まったく興味ありません、できません,興味/ある#ん/できる#ん,興/興味,null,null,
ええ、少し飲んでます,ゲートボールしたいなぁ。ゲートボールをしたことは、ありますか？,えーと、ありません 暑い日はつらそうですね,ある#ん/暑い/つらい,熱い/暑い,辛い,n,
あー、そうですか,麻生は知っていますか？,えー、地名ですか人名ですか、分からないです,えー/地名/人名/分かる#ない,名,null,null,
え、こんにちわー,習い事って、何かされていましたか？,え、お習字とかお花とかしてました,習字/花/する,花/華,null,null,
いやー、あまりそんなことないと思います,好きな食べ物はなんですか？,えー、特別ないですけどー いまはないですねあまり、なんでも少しずつ食べます,えー/特別/ない/ー/いま#ない/あまり/なん/食べる,特別,null,null,
そうなんです 何しようかなあって大変なんです,すは仮名文字|さですか？,かな文字ですね,かな/文字,文/綾,null,null,
はい、かなです,雨は嫌です。,そうでもないです 雨の日傘さして出かけるの嫌いではないです 大雨以外は,null#ない/雨/日傘/出かける/嫌い#ない/大雨,null,嫌,null,
そうですね 40年くらいになります,長生きしてもらわないと,そうですね 長生きしたいんですけどどうでしょ,そうですね/長生き/する,長/生き,null,p,
そうですね 長生きしたいんですけどどうでしょ,夜中に、目が覚めることってありませんか？,えーと、 前は2、3回目が覚めます,前/2/3/目/覚める,冷める/覚める/醒める/褪める,冷める/覚める/醒める/褪める,null,
えーと、 前は2、3回目が覚めます,前田ってなんだろう．．．,あー、人の名前みたいですね、その,あー/人/名前,名,null,null,
そうです テニスはテニスです,テニスは好きですか？,ええ、好きですよ,ええ/好き,好き,null,null,
ええ、好きですよ,映画が好きです,ええ、映画も好きです,ええ/映画/好き,好き,null,null,
ええ、映画も好きです,お肉とお魚ならどちらが好きですか？,お肉の方が好きです,肉/好き,好き,null,null,
こんにちは,歌を歌うのは、好きですか？,聞くのは好きですけど歌うのは苦手です,聞く/好き/歌う/苦手,好き/歌う/謡う/唄う/謳う,苦,null,
聞くのは好きですけど歌うのは苦手です,倉敷は知っていますか？,名前は知っていますが行ったことないです,名前/知る/行う/ない,名,null,null,
えー、胃が痛いことはしょっちゅう、私はあります,映画は好きですか？,ええ、好きです,ええ/好き,好き,null,p,
いいえ、全然泳げません,今日の晩御飯の献立は決まりましたか？,まだ決まらないで困ってるんです 何しようかな お魚にしないとなあとおもってます,決まる#ない/困る/何/する/魚/する#ない/おもう,主/重,困る,null,
永は永久、永は,永久脱毛は好きですか？,そうですね若い人はいいかもしれませんね,若い/人/いい/しれる#ん,易易/良い/善い/好い/若い,null,null,
そうですね若い人はいいかもしれませんね,山に登ったことは、ありますか？,山にのぼったことありー、ないです,山/のぼる/ある/ー/ない,山,ぼる,null,
山にのぼったことありー、ないです,山は山ですか？,山は山です,山/山,山,null,null,
山は山です,何か好きな音楽は、ありますか？,えー、特別ないですいろんなものをきいてます,えー/特別/ない/きく,特別/利く,null,null,
えー、特別ないですいろんなものをきいてます,今、何か、夢はありますか？,夢か、夢はもう持てません いまは,夢/夢/持てる#ん/いま,夢,null,null,
夢か、夢はもう持てません いまは,夢ってなんだろう．．．,夢って,夢,夢,null,null,
夢って,好きな花は、なんですか？,特別好きな花はないですね,特別/好き/花#ない,好き/特別,null,null,
特別好きな花はないですね,健康のために、食べたり飲んだりしているものってありますか？,特別何も無いです 普通に食べてます,特別/何/無い/普通/食べる,特別,null,null,
いまはありません,最近、元気な高齢者の方が、たくさんいらっしゃいますよね。,そうなんですよね 周りにたくさんいます うらやましいです,周り/たくさん/いる/うらやましい,羨ましい,null,null,
そうなんですよね 周りにたくさんいます うらやましいです,おいしいですね。,そうですね 缶詰は美味しいですね みかんでも、えーパイナップルでも,そうですね/缶詰/美味しい/みかん/パイナップル,味/美味しい,null,null,
いや、行かなかったですね,部屋は好きですか？,えーとちょっとね えー、日当たりが悪いので 好きじゃないです,えー/日当たり/悪い/好き#ない,当たり,悪,null,
えーとちょっとね えー、日当たりが悪いので 好きじゃないです,スマートフォンってご存知ですか？便利だと聞きますが簡単に使えるのかなぁ,えー、知ってますけど 使いこなせないので えー、使える人は簡単だと思います,えー/知る/使いこなせる#ない/えー/使える/人/簡単/思う,簡単,null,null,
えー、知ってますけど 使いこなせないので えー、使える人は簡単だと思います,永は好きですか？,永ですか、永という字は嫌い、好きも嫌いも感じません,永い/永/字/嫌う/好き/嫌い/感じる#ん,好き,嫌/嫌い/嫌う,null,
別にありません,宝くじを買ったことはありますか？あたったことありますか？,えー、宝くじは買ったことはあります、当たったこともないです,えー/宝くじ/買う/ある/当たる/ない,買う/当たる/宝/財,当たる,null,
日本に住んでいます,オバマ大統領が、日本に渡来したそうですね,そうですね、よかったとおもいます,そうですね/よい/おもう,良い/善い/好い/主/重,null,null,
いや、もうないです,朝ごはんに、いつも食べているものってありますか？,納豆です 味噌汁です,納豆/味噌汁,味,null,null,
うーん、最近は無いですね,働いて、人の役に立てたら嬉しいですよね。,そうですね その元気があったらいいですね,そうですね/元気/ある/いい,易易/良い/善い/好い/元気,null,null,
言葉ですか いろいろ知ってます,言葉は好きですか？,はい、好きです,はい/好き,好き,null,p,
そうなんですね やっぱり気になりますよね,元気なうちは働いたほうがいいですよ,そうですね、そうおもいます,そうですね/おもう,主/重,null,p,
そうですね、そうおもいます,和菓子と洋菓子どちらが好きですか？,和菓子の方が好きですね,和菓子/好き,好き,null,null,
そう、指示語でしょうかね,肉じゃが食べたいなあ。肉じゃがを作るのは簡単ですか？,ええ、肉じゃがおいしいですけど、簡単かどうかわかんないですけど美味しいですよね,ええ/肉じゃが/おいしい/簡単/かわく#ん/ない/美味しい,簡単/佳話/味/美味しい,null,null,
そうですね なかなか早寝できません,家族で写真を撮ったりしますか？,私は写真が苦手なので 私だけ映りません,私/写真/苦手/私/映る#ん,真/誠/実/真,苦,n,
私は写真が苦手なので 私だけ映りません,私は哲学の概念ですか？,えー、ちょっと今の質問難しいです,えー/今/質問/難しい,null,難しい,null,
えー、ちょっと今の質問難しいです,今は哲学の主題ですか？,えー、ちょっと難しいです,えー/難しい,null,難しい,null,
泳げませんので行きません,これはもう健康には，もうお金には替えられないですね．,そうですね 健康と若さはお金に変えられません、お金に変わりません,そうですね/健康/若い/さ/お金/変える/られる#ん/お金/変わる#ん,健/健康/若い,null,null,
そうですね 健康と若さはお金に変えられません、お金に変わりません,暑い日が続いてきましたね。泳ぎに行きませんか？,泳ぎは苦手なので行きません,泳ぎ/苦手/行く#ん,null,苦,null,
泳ぎは苦手なので行きません,親は好きですか？,そうですね 親はいなくなりましたけどありがたいと思ってます,そうですね/親/いる#ない/なる/ありがたい/思う,有り難い,null,null,
え、あまり好きじゃないです,料理って大変だけど、美味しいものが大好き、楽しいね。,おいしいもの大好き、幸せなっちゃいます,おいしい/大好き/幸せ/なる,好き/大好き/幸,null,null,
私もそう思います,下は日本語の姓|しもですか？,違います,違う,null,違う,null,
んってなんだろうね,らんってなんだろう．．．,らんて、お花かな,らん/花,花/華,null,p,
らんて、お花かな,鼻は知っていますか？,あ、お顔の鼻ねー、咲く花です,あ/顔/鼻/咲く/花,花/華,null,null,
あ、お顔の鼻ねー、咲く花です,走りたいなぁ。マラソン大会に出たことは、ありますか？,ないです とても無理です,ない/無理,理,null,null,
そんなことないです いろいろあります,お孫さんと遊ぶことは楽しいですよね。,楽しいんですけどね 疲れます,楽しい/疲れる,楽しい,null,null,
楽しいんですけどね 疲れます,今日は、一人で買い物に行ってきます。魚屋さんです。,美味しいもの買ってきてください,美味しい/買う,買う/味/美味しい,null,null,
はい、知っています,サッカーのワールドカップが始まりましたね。興味は、ありますか？,あります こないだは残念でした,ある/こないだ/残念,null,残念,null,
あります こないだは残念でした,スギ花粉の季節が終わりましたね。花粉は、つらかったですか？,そうですね 少し鼻がぐちゅぐちゅします,そうですね/鼻/ぐち/ゅぐちゅします,null,愚痴,null,
そうですね 少し鼻がぐちゅぐちゅします,毎日、掃除大変ですよね。やってもやっても、あまり終わらないですよね。,大変なほど掃除していません 手抜きしてます,大変/掃除/する#ん/手抜き/する,null,手抜き,null,
大変なほど掃除していません 手抜きしてます,掃除はしますか？,手抜きしながらぼつぼつと,手抜き/する,null,手抜き,null,
手抜きしながらぼつぼつと,手抜きは欺瞞ですか？,ちょっと意味わかりません,意味/わかる#ん,味,null,null,
ちょっと意味わかりません,笑は笑いですか？,ええ、笑いですねえ、笑顔はいいですよ,ええ/笑い/笑顔/いい,易易/良い/善い/好い,笑い,null,
ええ、笑いですねえ、笑顔はいいですよ,お孫さんは、いらっしゃいますか？最近お話しましたか？,一緒に暮らしていますので 毎日うるさいです,一緒/暮らす/毎日/うるさい,null,売る/煩い/五月蠅い,null,
一緒に暮らしていますので 毎日うるさいです,ケーキはお好きですか？何のケーキが好きですか？,ケーキは好きですけど 健康のために あまり食べていません,ケーキ/好き/健康/食べる#ん,好き/健/健康,null,null,
ケーキは好きですけど 健康のために あまり食べていません,今日のお洋服、素敵ですね,そうですね 皆さん素敵ですね,そうですね/皆さん/素敵,素的/素敵,敵,p,
そうですね 皆さん素敵ですね,風邪は万病のもとっていいますよね。風邪をひかないようにするには、どうしたらいいんだろう。,うがい、うがい手洗いってよく言いますけど、そうですねー、あまり出かけないことが多,う/いる/う/手洗い/言う/出かける#ない/多い,多,null,null,
ありますあります,暑い季節になりましたね。熱中症に気をつけてくださいね。,ありがとうございます 本当です 気をつけます,ありがとう/本当/気/つける,本当,null,p,
ありがとうございます 本当です 気をつけます,本当は仏教ですか？,ほんとうは仏教ではありません,ほんとう/仏教/ある#ん,ほんと,null,null,
ほんとうは仏教ではありません,楽譜は、読めますか？,楽譜は読めません,楽譜/読める#ん,楽,null,null,
楽譜は読めません,楽譜は好きですか？,好きではありません,好き/ある#ん,好き,null,null,
好きではありません,映画が好きです,え、映画はいろいろ面白いですよね,映画/面白い,面白い,白,null,
え、映画はいろいろ面白いですよね,江川ってなんだろう．．．,人の顔かしら、人の名前かしら,人/顔/人/名前,名,null,null,
人の顔かしら、人の名前かしら,人は好きですか？,色んな人がいます、好きな人もいますし、嫌いな人もいます,人/いる/好き/人/いる/嫌い/人/いる,好き,嫌/嫌い,null,
色んな人がいます、好きな人もいますし、嫌いな人もいます,今日は、どこかにお出かけしますか？,買い物に出かけます,買い物/出かける,買い物,null,p,
ええ、前にはよく見に行ったんですけど 最近は見ていません,お酒は飲みますか？いろいろな種類のお酒があって好みが分かれますよね。,そうですね お酒はのめないんですけど いろいろ種類があっておいしそうですね,そうですね/酒/のめる#ない/種類/ある/おいしい,美味しい,null,p,
そうですね お酒はのめないんですけど いろいろ種類があっておいしそうですね,いつも買っている、雑誌はありますか？,雑誌は買っていません ときどき立ち読みをしてます,雑誌/買う#ん/立ち読み/する,null,雑,null,
雑誌は買っていません ときどき立ち読みをしてます,子どもにも、囲碁や将棋を、覚えてもらいたいですよね。,そうなんです すすめてるんですけどね、嫌だそうです,すすめる/嫌,null,嫌,null,
null,だんだん、日差しが強くなるけれど、夏の帽子は買いましたか？,ええ、去年買いました,ええ/去年/買う,買う,null,null,
ええ、去年買いました,おすすめの散歩スポットを教えてください。,近くのね 多摩平の森というところにね 森林公園があります,近く/多摩平/森/森林公園/ある,多,null,null,
近くのね 多摩平の森というところにね 森林公園があります,多摩平はご存知ですか？,多摩平に住んでいます,多摩平/住む,多,null,null,
多摩平に住んでいます,靴のお手入れって、されていますか？,特別していません,特別/する#ん,特別,null,null,
特別していません,特別は形而上学ですか？,難しくてよくわかりません,難しい/わかる#ん,null,難しい,null,
難しくてよくわかりません,２０２０年の東京オリンピックは、楽しみですね。,楽しみですね,楽しみ,楽しみ,null,null,
子供は小さい人のことをいいます,子供は子供で心配なんでしょうけど，お孫さんはお孫さんでまた、いろいろね、あるんでしょうね．,そうなんです いろいろ心配ごとがあります,心配/ごと/ある,null,心配,null,
んは言葉の端に出てくる言葉ですよね,遠くの親戚より近くの他人といいますが、本当ですか？,本当にそう思います困ってる時は近所の人ですよね,思う/困る/近所/人,null,困る,null,
たまーにでます,全自動の洗濯機は便利ですよね。,そうですね 便利ですけど 壊れやすいですよね,そうですね/便利/壊れる,便利,null,null,
お米研ぐのと炊くのそんな面倒でないです,お米食べてみたいなぁ,お米は食べれないけど、炊いてごはんにしたらおいしいです,米/食べる/れる#ない/炊く/ごはん/する/おいしい,美味しい,null,p,
お米は食べれないけど、炊いてごはんにしたらおいしいです,お米もパンも、どちらも好きだけど、やっぱりパンがおいしいかな。,やっぱりご飯がおいしいです,ご飯/おいしい,美味しい,null,null,
いいですね いろいろと教えてもらって,料理って楽しそうですよね。僕も料理してみたいなぁ。,男の方もどんどんしたらいいと思います,男/する/いい/思う,易易/良い/善い/好い/男,null,null,
男の方もどんどんしたらいいと思います,男は男性たんせいですか？,言葉の意味がよくわかりません,言葉/意味/わかる#ん,味,null,null,
言葉の意味がよくわかりません,言葉は好きですか？,日常会話いいますけど、言葉って好きですかって言われると,日常/会話/いう/言葉/好き/言う/れる,好き,null,null,
一度もないんです,料理って大変だけど、美味しいものが大好き、楽しいね。,そうですね 美味しいものは幸せになりますね,そうですね/美味しい/幸せ/なる,味/美味しい/幸,null,null,
たべるようにしています,ようは知っていますか？,知ってます、ようはー、ようじのようです,知る/ー/ようじ,要事,null,null,
知ってます、ようはー、ようじのようです,養分ってなんだろう．．．,養分てね いろいろな栄養になるものですよね,養分/いろいろ/栄養/なる,色,null,null,
週はは1週間の週ですね,手ってなんだろう．．．,手っていろいろなことができますよね、料理とか,手/いろいろ/できる/料理,理/色,null,null,
あります,パソコンって触ってみたいけど、ちょっと不安ですよね。,ええ、前はよく、 毎日やってましたけど最近はやりません,ええ/前/よい/毎日/やる/最近/やる#ん,良い/善い/好い,null,n,
ないです,お子さんはいますか？みなさん大きくなりましたか？,２人います、みんな大人です,２/いる/みんな/大人,大人,null,p,
null,もう一度話しかけてください,成増は ことばなの、なんだろ,成増/ことば/なん,null,糊塗,null,
成増は ことばなの、なんだろ,成増は板橋区の町名ですか？,よくわからないけど違うと思います,わかる#ない/違う/思う,null,違う,null,
よくわからないけど違うと思います,柔軟剤は使いますか？お洗濯に、こだわりはありますか？,柔軟剤は使わないです あまりこだわりないです,柔軟/剤/使う#ない/こだわり/ない,柔軟,null,p,
そうですね,朝起きてからの、日課ってありますか？,特別に これといった普段通り洗濯とか、ご飯食べてね,特別/これ/普段/通り/洗濯/ご飯/食べる,特別,null,null,
特別に これといった普段通り洗濯とか、ご飯食べてね,特別は好きですか？,特別っていう言葉ですので 好きも嫌いもないです,特別/言葉/好き/嫌い/ない,好き/特別,嫌/嫌い,null,
特別っていう言葉ですので 好きも嫌いもないです,カレーてそれぞれの家庭の味がありますよね。カレーの隠し味はありますか？,にんにくいれること、ケチャップいれることぐらいです,にんにく/いれる/ケチャップ/いれる,入れる/容れる,null,null,
にんにくいれること、ケチャップいれることぐらいです,んってなんだろう．．．,んってね、聞かれると難しいです,聞く/れる/難しい,null,難しい,null,
んってね、聞かれると難しいです,下ってなんだろう．．．,下ってね、したって意味ですけど、どういったらいいんだろ,下る/する/意味/いう/いい,易易/良い/善い/好い/味,下る/降る,null,
あります,ケーキやお団子のような、甘い食べ物は好きですか？,好きですけど、食べないようにしています、健康のために,好き/食べる#ない/する/健康,好き/健/健康,null,null,
なるべく持ってくようにしてます,ようは好きですか？,ようはどういう意味でしょう ようじのようでしょうか,意味/ようじ,味/要事,null,null,
ようはどういう意味でしょう ようじのようでしょうか,意味ってなんだろう．．．,意味ってね 何ていったらいいんでしょうね,意味/何/いい,易易/良い/善い/好い/味,null,null,
意味ってね 何ていったらいいんでしょうね,意味は好きですか？,意味はそれぞれに意味がありますからね,意味/それぞれ/意味/ある,味,null,null,
意味はそれぞれに意味がありますからね,意味は知っていますか？,意味 という言葉は知っています,意味/言葉/知る,味,null,null,
意味 という言葉は知っています,意味は知識ですか？,そうですよね いろいろと これはどんな意味かなっていうこと知るからね,これ/意味/かなう/知る,適う/叶う/敵う/味,適わない,p,
いえ、家族アルバムに入ってますけど持ってません,家族旅行は楽しいですよね,楽しいですけどたいへんです,楽しい,楽しい,null,p,
大変のたいのことかな、食べるたいのことかなあ,最近、海に行きましたか？,海は苦手です,海/苦手,null,苦,null,
はい、昔やってました,人と会うのは楽しいですよね。,でも会いたくない人 と会うのは たのしくないです,会/いたい#ない/人/会う/たのしい#ない,合う/会う/遭う/遇う/逢う,null,null,
はい、人は知っています,愛人ってなんだろう．．．,愛人って、えー、なんでしょうね,愛人/えー/なん,愛/愛人,null,null,
愛人って、えー、なんでしょうね,布団を干すのは大変ですよね。,大変ですけど、お天気のいい日は干します,大変/天気/いい/干す,易易/良い/善い/好い,null,p,
言葉って相手に気持ちを,今日、何か予定は、ありますか？,ええ、これから友達と会うことになっています,ええ/友達/会う/なる,合う/会う/遭う/遇う/逢う,null,null,
ええ、これから友達と会うことになっています,友達は好きですか？,そうですね 話の合う人は好きです,そうですね/話/合う/人/好き,好き/合う/会う/遭う/遇う/逢う,null,null,
よくパンは作っていました 今作ってないですけど,パワーは知っていますか？,パワーはね、元気の素ですね,パワー/はねる/元気/素,撥ねる/元気,null,null,
私がは持ってないです,私も一緒です。全然、泳げません。,あー、泳げる方がいいですよ,あー/泳げる/いい,易易/良い/善い/好い,null,null,
うまくできないんです、それが,苦手な食べ物はありますか？,苦手な食べ物は特にないです,苦手/食べ物/ない,null,苦,null,
まだ乗っていません,ロボットに介護を手伝ってもらうの、どう思いますか？,そうですね でもロボット高そうですね お値段が いいと思いますよ んー 難しいですね,そうですね/ロボット/高/値段/いい/思う/ー/難しい,易易/良い/善い/好い/価/値,難しい,null,
あまり好きじゃないです,映画が好きです,ええ、映画は好きです,ええ/映画/好き,好き,null,null,
自分で研げません,自分でできることは、全部自分でします。,そうですねできる時は自分でしたほうがいいと思います,できる/自分/いい/思う,易易/良い/善い/好い,null,null,
そうですねできる時は自分でしたほうがいいと思います,毎月の、公共料金って気になりますよね。節約したり、しますか？,そのように節約しようとしてますけど なかなかうまくいかないです,節約/する/する/うまい/いく#ない,馬が合う/甘い/旨い,null,n,
ようってね用事のようかしら,将棋や囲碁のような、ゲームに強くなるには、どうしたらいいんだろう。,どうしたらいいんでしょうね 考える力が鍛えられていいとおもうんですけどね,する/いい/考える/力/鍛える/られる/おもう,易易/良い/善い/好い/主/重,null,p,
あります,今、いろいろな資格がありますよね。何か興味のあるものは、ありますか？,若いときにいろいろ資格をとりましたので 今は何もないです,若い/資格/とる/今/何/ない,若い,null,null,
